1,0.100000000000000006,1024,4,1,4,4,3,3,7,7,0.095100000000000004,0.158200000000000007,0.0585000000000000034,0.112100000000000005,0.0389999999999999999,0.103099999999999997,0.0432000000000000023,0.0887000000000000011,0.0287999999999999992,0.0793999999999999984,0.0323999999999999982,0.0763999999999999957,0.0239000000000000011,0.0700999999999999956,0.0251000000000000008,0.067000000000000004,0.0201999999999999992,0.0632000000000000062,0.019900000000000001,0.0597000000000000031,0.00910000000000000045,0.037199999999999997
2,0.0500000000000000028,1024,1,8,1,1,3,5,5,3,0.0795000000000000012,0.166000000000000009,0.0459000000000000033,0.0835999999999999938,0.0164000000000000014,0.0539999999999999994,0.0294999999999999984,0.0680000000000000049,0.0134000000000000005,0.0483999999999999986,0.0217000000000000005,0.0582000000000000017,0.0122000000000000008,0.0458000000000000004,0.0166000000000000002,0.0505999999999999991,0.0114999999999999998,0.0442999999999999991,0.0134999999999999998,0.0456000000000000016,0.00559999999999999994,0.0286999999999999998
3,0.0100000000000000002,1024,16,8,16,8,7,5,5,5,0.0995000000000000051,0.140399999999999997,0.0604999999999999982,0.0974000000000000005,0.0401999999999999996,0.0748000000000000054,0.0447999999999999995,0.0771000000000000019,0.0342999999999999972,0.0594000000000000014,0.0429999999999999966,0.0738999999999999935,0.0323000000000000023,0.053400000000000003,0.0396999999999999992,0.0688,0.0315000000000000002,0.0512000000000000025,0.0325000000000000011,0.0539999999999999994,0.0294999999999999984,0.042599999999999999
2,0.100000000000000006,32,1,8,16,8,5,7,3,5,0.0146999999999999995,0.0478000000000000022,0.00129999999999999994,0.0185999999999999985,0.0019,0.0149,0.00129999999999999994,0.0115999999999999992,0.00129999999999999994,0.0117000000000000003,0.00100000000000000002,0.0100999999999999996,0.00110000000000000007,0.0106999999999999994,0.00100000000000000002,0.00970000000000000029,0.00100000000000000002,0.0102000000000000007,0.000920539999999999965,0.00940000000000000037,0.00088325999999999997,0.00919999999999999984
2,0.00100000000000000002,1024,8,16,4,8,3,7,3,7,0.106899999999999995,0.140600000000000003,0.1066,0.138100000000000001,0.103700000000000001,0.146100000000000008,0.101199999999999998,0.146199999999999997,0.0971000000000000058,0.155599999999999988,0.0902000000000000024,0.159299999999999997,0.0850999999999999951,0.17019999999999999,0.0774999999999999994,0.171300000000000008,0.0744999999999999968,0.176699999999999996,0.0686999999999999972,0.166500000000000009,0.0328999999999999987,0.0889000000000000068
2,0.00100000000000000002,1024,4,4,1,4,7,5,5,3,0.104400000000000007,0.171199999999999991,0.101300000000000001,0.150299999999999989,0.0982999999999999985,0.169000000000000011,0.0922999999999999932,0.156700000000000006,0.086099999999999996,0.168399999999999994,0.0729000000000000065,0.157500000000000001,0.0685000000000000053,0.160299999999999998,0.060699999999999997,0.142499999999999988,0.0575000000000000025,0.141499999999999987,0.0526000000000000009,0.12970000000000001,0.0286000000000000004,0.0801999999999999935
1,0.0100000000000000002,128,16,1,16,1,5,3,7,3,0.037199999999999997,0.108600000000000002,0.0235999999999999995,0.0710999999999999965,0.022200000000000001,0.0685999999999999943,0.0191999999999999983,0.0619999999999999996,0.0185999999999999985,0.060699999999999997,0.016799999999999999,0.0565999999999999975,0.0162999999999999985,0.0555999999999999966,0.0149999999999999994,0.0522000000000000033,0.0146999999999999995,0.0517000000000000029,0.0137000000000000004,0.0485999999999999974,0.00640000000000000031,0.0303999999999999999
3,0.100000000000000006,32,8,16,1,4,3,7,3,3,0.0995000000000000051,0.19270000000000001,0.0986999999999999961,0.191399999999999987,0.0990999999999999936,0.193000000000000005,0.0990000000000000047,0.183999999999999997,0.0995000000000000051,0.193599999999999994,0.0991999999999999965,0.20530000000000001,0.0994000000000000022,0.193500000000000005,0.0990000000000000047,0.183499999999999996,0,0,0,0,0.100800000000000001,0.193399999999999989
3,0.0100000000000000002,128,1,16,4,16,3,3,7,5,0.110299999999999995,0.157200000000000006,0.1061,0.156599999999999989,0.106800000000000006,0.157000000000000001,0.1061,0.157000000000000001,0.106800000000000006,0.157000000000000001,0.1061,0.155599999999999988,0.106499999999999997,0.1565,0.1061,0.156799999999999995,0,0,0,0,0.108499999999999999,0.158799999999999997
1,0.0500000000000000028,32,4,8,8,16,7,7,5,3,0.0453,0.0989000000000000018,0.0131999999999999999,0.0487000000000000002,0.0103000000000000001,0.0422000000000000014,0.00809999999999999956,0.0350000000000000033,0.00740000000000000033,0.0338999999999999996,0.00630000000000000004,0.0302000000000000011,0.00600000000000000012,0.0296000000000000013,0.00519999999999999976,0.0269999999999999997,0.0050000000000000001,0.0267000000000000015,0.00440000000000000027,0.0246000000000000003,0.00169999999999999991,0.0143999999999999996
